person_age,person_income,loan_amnt,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
30.0,187973.0,8000.0,12.84,0.04,627,No,0
22.0,79021.0,3000.0,10.36,0.04,681,Yes,0
24.0,63481.0,20000.0,15.65,0.32,633,No,1
28.0,97086.0,13000.0,13.47,0.13,597,Yes,0
26.0,78953.0,15000.0,11.47,0.19,577,No,0
27.0,79127.0,3000.0,7.51,0.04,610,Yes,0
22.0,117669.0,10000.0,13.57,0.08,598,Yes,0
46.0,60905.0,10000.0,9.98,0.16,723,Yes,0
29.0,50428.0,5000.0,11.49,0.1,536,Yes,0
22.0,73688.0,24000.0,6.54,0.33,583,Yes,0
24.0,38584.0,1279.0,9.47,0.03,711,No,0
28.0,102726.0,9000.0,11.01,0.09,639,Yes,0
22.0,60878.0,8000.0,11.12,0.13,630,Yes,0
25.0,60845.0,6000.0,14.17,0.1,607,Yes,0
24.0,108721.0,24000.0,13.06,0.22,672,No,0
31.0,60947.0,2000.0,6.39,0.03,637,Yes,0
26.0,67132.0,7003.0,12.51,0.1,683,Yes,0
33.0,139248.0,7500.0,11.03,0.05,673,No,0
22.0,31907.0,3500.0,12.18,0.11,561,Yes,0
24.0,75667.0,7000.0,10.38,0.09,641,Yes,0
27.0,57091.0,15000.0,9.24,0.26,684,No,1
25.0,103194.0,5750.0,7.29,0.06,583,Yes,0
30.0,48881.0,10000.0,12.73,0.2,670,Yes,0
24.0,48897.0,20000.0,12.53,0.41,656,No,1
27.0,77128.0,12000.0,13.49,0.16,588,No,0
26.0,130590.0,2000.0,16.29,0.02,628,Yes,0
23.0,53802.0,9800.0,13.11,0.18,657,No,1
29.0,118606.0,14000.0,9.54,0.12,624,Yes,0
24.0,87404.0,18000.0,7.88,0.21,600,Yes,0
23.0,41847.0,3000.0,10.0,0.07,654,Yes,0
25.0,138648.0,19000.0,13.49,0.14,672,Yes,0
24.0,108864.0,15000.0,17.58,0.14,579,Yes,0
28.0,25150.0,3000.0,7.14,0.12,694,No,1
22.0,27003.0,3500.0,11.01,0.13,676,No,1
29.0,103930.0,9500.0,11.01,0.09,714,Yes,0
33.0,120973.0,25000.0,11.66,0.21,631,Yes,0
23.0,72969.0,7000.0,12.99,0.1,630,Yes,0
24.0,31246.0,5625.0,12.68,0.18,687,No,0
30.0,181152.0,21000.0,12.62,0.12,606,Yes,0
21.0,37001.0,8000.0,11.01,0.22,607,No,0
34.0,49949.0,2623.0,12.35,0.05,720,No,0
24.0,22560.0,5400.0,15.99,0.24,535,No,1
33.0,47897.0,15000.0,17.56,0.31,533,No,1
42.0,43213.0,2500.0,10.54,0.06,682,No,0
29.0,75725.0,5000.0,11.36,0.07,655,No,0
24.0,31233.0,2400.0,13.8,0.08,664,Yes,0
22.0,38994.0,3200.0,10.2,0.08,622,Yes,0
33.0,108844.0,18000.0,11.58,0.17,637,No,1
25.0,62676.0,4117.0,8.6,0.07,616,Yes,0
26.0,42681.0,2000.0,10.46,0.05,647,No,0
32.0,62129.0,15000.0,11.45,0.24,664,No,0
24.0,55013.0,4075.0,5.42,0.07,571,Yes,0
22.0,35384.0,5000.0,6.91,0.14,558,Yes,0
33.0,151031.0,25000.0,11.36,0.17,666,Yes,0
22.0,121043.0,3000.0,11.49,0.02,682,No,0
31.0,55676.0,4000.0,11.83,0.07,745,Yes,0
25.0,104514.0,12204.0,7.29,0.12,571,Yes,0
24.0,78978.0,3600.0,10.61,0.05,697,Yes,0
33.0,22852.0,500.0,11.01,0.02,716,No,0
31.0,84898.0,12000.0,6.91,0.14,666,Yes,0
27.0,41795.0,4000.0,15.22,0.1,656,No,1
26.0,36934.0,7200.0,13.4,0.19,628,Yes,0
24.0,300951.0,18000.0,12.98,0.06,671,No,0
35.0,47925.0,4500.0,6.62,0.09,668,No,0
31.0,154872.0,35000.0,15.99,0.23,647,No,1
27.0,33366.0,6000.0,8.0,0.18,631,Yes,0
27.0,124828.0,8926.0,6.96,0.07,669,No,0
32.0,103256.0,20000.0,8.88,0.19,643,No,0
25.0,128279.0,10000.0,10.24,0.08,665,Yes,0
31.0,43073.0,11717.0,12.89,0.27,633,No,1
36.0,39361.0,5000.0,10.62,0.13,678,Yes,0
25.0,87792.0,10000.0,12.99,0.11,716,No,0
41.0,72877.0,4900.0,14.09,0.07,632,Yes,0
25.0,46395.0,9000.0,11.58,0.19,697,No,1
29.0,43073.0,6250.0,15.95,0.15,698,No,1
29.0,39500.0,6525.0,16.07,0.17,647,No,1
42.0,57358.0,2800.0,9.72,0.05,557,Yes,0
22.0,55158.0,4750.0,6.39,0.09,628,Yes,0
40.0,53863.0,6200.0,5.42,0.12,722,No,0
28.0,121070.0,18000.0,13.99,0.15,562,Yes,0
36.0,130833.0,13998.0,8.87,0.11,668,Yes,0
25.0,73067.0,15000.0,8.25,0.21,679,Yes,0
23.0,67218.0,6000.0,10.99,0.09,624,Yes,0
26.0,71283.0,4500.0,6.03,0.06,603,Yes,0
23.0,61180.0,8000.0,12.73,0.13,695,No,0
26.0,84657.0,7500.0,10.58,0.09,546,Yes,0
28.0,80448.0,5000.0,7.96,0.06,651,No,0
26.0,71724.0,6000.0,7.51,0.08,566,Yes,0
22.0,35317.0,8000.0,11.28,0.23,626,Yes,0
24.0,60078.0,5000.0,12.18,0.08,604,No,1
51.0,82135.0,15000.0,13.11,0.18,669,Yes,0
24.0,45115.0,5500.0,9.2,0.12,720,No,0
22.0,54733.0,9125.0,5.79,0.17,652,Yes,0
33.0,51260.0,7000.0,10.36,0.14,681,No,0
29.0,112053.0,24000.0,6.91,0.21,690,Yes,0
25.0,39573.0,1500.0,7.29,0.04,581,Yes,0
28.0,57659.0,5000.0,11.67,0.09,685,No,0
22.0,57166.0,12000.0,13.0,0.21,625,No,0
